"网金社酒店代码"	"对应酒店代码"
"H00032665"	"1064097"
"H00000172"	"1064508"
"H00028152"	"1064643"
"H00018209"	"1064978"
"H00028126"	"1065896"
"H00032692"	"1068684"
"H00018169"	"1069596"
"H00125398"	"1071084"
"H00000190"	"1071622"
"H00033792"	"1073498"
"H00012207"	"1073517"
"H00000189"	"1073562"
"H00012473"	"1073570"
"H00018115"	"1073582"
"H00062733"	"1073584"
"H00029894"	"1073740"
"H00028115"	"1073742"
"H00018113"	"1073743"
"H00028110"	"1074183"
"H00000191"	"1080584"
"H00028108"	"1081264"
"H00018099"	"1081557"
"H00012253"	"1082214"
"H00000229"	"1085208"
"H00000228"	"1085209"
"H00000226"	"1085210"
"H00000225"	"1085211"
"H00029136"	"1085618"
"H00000214"	"1085773"
"H00000232"	"1094270"
"H00049680"	"1094947"
"H00018048"	"1098783"
"H00018045"	"1098819"
"H00000249"	"1099469"
"H00036086"	"1100917"
"H00034437"	"1101605"
"H00018041"	"1102188"
"H00000261"	"1102679"
"H00000254"	"1102722"
"H00000253"	"1102732"
"H00000269"	"1102883"
"H00043472"	"1103049"
"H00000268"	"1103742"
"H00018019"	"1105660"
"H00000276"	"1106208"
"H00018015"	"1107145"
"H00028072"	"1107194"
"H00028068"	"1108455"
"H00000279"	"1110151"
"H00028063"	"1111365"
"H00012105"	"1114271"
"H00018008"	"1115615"
"H00000297"	"1115781"
"H00028057"	"1115808"
"H00000301"	"1116141"
"H00000307"	"1118721"
"H00028042"	"1118965"
"H00016859"	"1121666"
"H00016857"	"1122006"
"H00000352"	"1135965"
"H00113328"	"1137076"
"H00034821"	"1164894"
"H00016851"	"1164912"
"H00000401"	"1171705"
"H00016849"	"1171744"
"H00000397"	"1179878"
"H00000395"	"1181186"
"H00011822"	"1181428"
"H00016846"	"1181450"
"H00016845"	"1181539"
"H00016843"	"1181544"
"H00000398"	"1181932"
"H00016840"	"1182276"
"H00016838"	"1183031"
"H00016833"	"1183453"
"H00016829"	"1183461"
"H00028025"	"1183464"
"H00016826"	"1184401"
"H00027672"	"1184601"
"H00016821"	"1184649"
"H00016780"	"1185225"
"H00069049"	"1185241"
"H00016775"	"1185267"
"H00024359"	"1193046"
"H00024356"	"1193060"
"H00024342"	"1193234"
"H00029282"	"1193238"
"H00016769"	"1193298"
"H00016764"	"1193390"
"H00016762"	"1193485"
"H00024264"	"1193817"
"H00016760"	"1194420"
"H00016758"	"1194548"
"H00024201"	"1196334"
"H00024193"	"1196696"
"H00016746"	"1196784"
"H00016745"	"1197342"
"H00024182"	"1197645"
"H00029262"	"1198183"
"H00000506"	"1198297"
"H00107566"	"1198456"
"H00016743"	"1198663"
"H00089033"	"1199687"
"H00016740"	"1204064"
"H00043637"	"1208055"
"H00024138"	"1208069"
"H00024134"	"1209663"
"H00000544"	"1210040"
"H00016723"	"1210428"
"H00000556"	"1210767"
"H00016704"	"1212045"
"H00024115"	"1214052"
"H00016660"	"1215627"
"H00038275"	"1215681"
"H00011843"	"1216551"
"H00034327"	"1216725"
"H00016647"	"1216961"
"H00016645"	"1217711"
"H00016642"	"1217748"
"H00122665"	"1220654"
"H00024082"	"1222499"
"H00125687"	"1226633"
"H00024052"	"1231824"
"H00016560"	"1233560"
"H00024044"	"1243410"
"H00016555"	"1244777"
"H00080415"	"1244838"
"H00016551"	"1247028"
"H00090211"	"1249518"
"H00012134"	"1256204"
"H00116084"	"1258810"
"H00024012"	"1267434"
"H00034455"	"1268017"
"H00000742"	"1271049"
"H00016535"	"1273714"
"H00016518"	"1282017"
"H00023987"	"1283330"
"H00016499"	"1285670"
"H00016493"	"1287391"
"H00011788"	"1287529"
"H00023945"	"1288173"
"H00016490"	"1288260"
"H00032713"	"1289959"
"H00023923"	"1300623"
"H00016461"	"1302409"
"H00023917"	"1303446"
"H00016450"	"1304587"
"H00000836"	"1306403"
"H00040603"	"1306468"
"H00123115"	"1306580"
"H00115404"	"1310049"
"H00023909"	"1310517"
"H00126160"	"1314792"
"H00011869"	"1318524"
"H00016445"	"1318526"
"H00029217"	"1318543"
"H00016444"	"1319630"
"H00032316"	"1331949"
"H00016428"	"1332008"
"H00016400"	"1332476"
"H00023824"	"1332580"
"H00000899"	"1332784"
"H00023806"	"1333201"
"H00016375"	"1335831"
"H00011475"	"1336353"
"H00016371"	"1336855"
"H00113365"	"1338278"
"H00016353"	"1341518"
"H00000942"	"1345803"
"H00125946"	"1347255"
"H00033151"	"1348000"
"H00016309"	"1348047"
"H00016305"	"1348219"
"H00023762"	"1349421"
"H00016297"	"1353061"
"H00039633"	"1355257"
"H00016295"	"1359536"
"H00046801"	"1369331"
"H00000972"	"1370621"
"H00016263"	"1372503"
"H00001006"	"1373748"
"H00125403"	"1373847"
"H00001002"	"1377089"
"H00043885"	"1377347"
"H00023746"	"1377612"
"H00011073"	"1379482"
"H00023740"	"1379712"
"H00016246"	"1380134"
"H00001024"	"1380723"
"H00016223"	"1385660"
"H00023735"	"1385848"
"H00016215"	"1385858"
"H00016208"	"1385970"
"H00016200"	"1386272"
"H00016189"	"1388866"
"H00011683"	"1389783"
"H00016168"	"1390223"
"H00001041"	"1390315"
"H00023724"	"1393198"
"H00023712"	"1393211"
"H00016150"	"1396597"
"H00001091"	"1405248"
"H00011883"	"1405359"
"H00050454"	"1407814"
"H00011071"	"1409427"
"H00047945"	"1411617"
"H00023656"	"1411662"
"H00023651"	"1412032"
"H00022054"	"1412616"
"H00022044"	"1414823"
"H00022039"	"1415433"
"H00022036"	"1415445"
"H00022027"	"1415657"
"H00001161"	"1416241"
"H00001155"	"1416704"
"H00022014"	"1418818"
"H00001169"	"1418831"
"H00023642"	"1419816"
"H00032659"	"1419853"
"H00021993"	"1420154"
"H00021987"	"1420304"
"H00021975"	"1422167"
"H00029407"	"1422974"
"H00021970"	"1422975"
"H00021967"	"1424053"
"H00001200"	"1425629"
"H00021959"	"1425759"
"H00074170"	"1425839"
"H00001186"	"1426594"
"H00021953"	"1426884"
"H00028683"	"1426990"
"H00001252"	"1431292"
"H00021909"	"1433606"
"H00021902"	"1434982"
"H00001266"	"1440476"
"H00021869"	"1440653"
"H00021848"	"1445107"
"H00028643"	"1451680"
"H00028638"	"1452155"
"H00028634"	"1452169"
"H00029402"	"1452198"
"H00021826"	"1453555"
"H00021822"	"1455125"
"H00021818"	"1457023"
"H00001366"	"1457824"
"H00029988"	"1458209"
"H00028608"	"1460588"
"H00049695"	"1461200"
"H00028605"	"1462179"
"H00029813"	"1466494"
"H00029792"	"1466503"
"H00021747"	"1466693"
"H00012043"	"1467104"
"H00011425"	"1467389"
"H00049731"	"1471014"
"H00028584"	"1472079"
"H00001414"	"1479476"
"H00021713"	"1484633"
"H00028580"	"1484670"
"H00021707"	"1484701"
"H00021703"	"1484780"
"H00021698"	"1484797"
"H00062992"	"1484813"
"H00021684"	"1484835"
"H00123097"	"1484849"
"H00042059"	"1484866"
"H00021675"	"1484874"
"H00080750"	"1488310"
"H00011546"	"1489060"
"H00044639"	"1489190"
"H00021634"	"1497332"
"H00118136"	"1497407"
"H00021629"	"1497663"
"H00021624"	"1501145"
"H00012559"	"1501168"
"H00029386"	"1501613"
"H00033851"	"1504644"
"H00028560"	"1508353"
"H00028550"	"1508688"
"H00021564"	"1509472"
"H00021555"	"1512580"
"H00021546"	"1512661"
"H00021541"	"1513416"
"H00021536"	"1516263"
"H00021532"	"1517157"
"H00033823"	"1518271"
"H00114843"	"1520369"
"H00090430"	"1520370"
"H00028520"	"1520373"
"H00040993"	"1520786"
"H00012213"	"1520992"
"H00021460"	"1521069"
"H00021455"	"1521071"
"H00021450"	"1521072"
"H00001719"	"1521073"
"H00028515"	"1521074"
"H00001720"	"1521075"
"H00028502"	"1521081"
"H00001715"	"1521090"
"H00116964"	"1521181"
"H00001693"	"1521182"
"H00021417"	"1521183"
"H00127132"	"1521187"
"H00001753"	"1521344"
"H00028459"	"1521345"
"H00028453"	"1521346"
"H00001754"	"1521347"
"H00028446"	"1521349"
"H00028440"	"1521350"
"H00029380"	"1522020"
"H00036661"	"1522385"
"H00031650"	"1522694"
"H00001659"	"1525330"
"H00029374"	"1525498"
"H00001777"	"1526419"
"H00021361"	"1526886"
"H00001801"	"1529247"
"H00001778"	"1529904"
"H00062690"	"1529968"
"H00021339"	"1531913"
"H00021333"	"1535143"
"H00043263"	"1535221"
"H00028395"	"1535272"
"H00021330"	"1535274"
"H00028390"	"1535275"
"H00001786"	"1535276"
"H00001787"	"1535278"
"H00028383"	"1535279"
"H00028378"	"1535280"
"H00001784"	"1535281"
"H00021312"	"1535284"
"H00021309"	"1535360"
"H00021305"	"1535411"
"H00021299"	"1535432"
"H00021287"	"1535436"
"H00029360"	"1535439"
"H00057758"	"1535974"
"H00126234"	"1537661"
"H00029355"	"1538201"
"H00021277"	"1538246"
"H00001815"	"1538302"
"H00021267"	"1541114"
"H00001819"	"1541172"
"H00021255"	"1542056"
"H00021242"	"1545300"
"H00021223"	"1549192"
"H00001833"	"1563537"
"H00021191"	"1564817"
"H00028329"	"1568750"
"H00043638"	"1573395"
"H00028315"	"1577161"
"H00011636"	"1577930"
"H00011752"	"1578624"
"H00011664"	"1580219"
"H00021171"	"1580330"
"H00028301"	"1581551"
"H00028296"	"1581915"
"H00011613"	"1581943"
"H00089384"	"1582123"
"H00121905"	"1583018"
"H00001936"	"1583019"
"H00021158"	"1583021"
"H00021147"	"1585133"
"H00028290"	"1585862"
"H00028279"	"1592334"
"H00021087"	"1594003"
"H00021045"	"1594268"
"H00011819"	"1595900"
"H00074214"	"1596505"
"H00011571"	"1596680"
"H00028272"	"1597521"
"H00020990"	"1600727"
"H00043660"	"1601045"
"H00041980"	"1601162"
"H00040809"	"1603163"
"H00020971"	"1603660"
"H00028267"	"1606836"
"H00020950"	"1610396"
"H00020900"	"1614060"
"H00036577"	"1615233"
"H00011657"	"1621652"
"H00032266"	"1623110"
"H00035841"	"1639847"
"H00002233"	"1640892"
"H00035932"	"1641301"
"H00014002"	"1641376"
"H00013996"	"1641386"
"H00013990"	"1641390"
"H00023590"	"1641476"
"H00002217"	"1641487"
"H00013973"	"1641519"
"H00013962"	"1641548"
"H00013958"	"1641599"
"H00013954"	"1641604"
