"网金社酒店代码"	"对应酒店代码"
"H00000415"	"4778011"
"H00000416"	"4682008"
"H00000417"	"4980993"
"H00000418"	"961091"
"H00000419"	"859343"
"H00000420"	"5108610"
"H00000421"	"891626"
"H00000422"	"2600552"
"H00000423"	"5493439"
"H00000424"	"855508"
"H00000425"	"6256645"
"H00000426"	"664937"
"H00000427"	"5074490"
"H00000428"	"250388"
"H00000429"	"5835157"
"H00000430"	"165205511"
"H00000431"	"2429388"
"H00000432"	"821176657"
"H00000433"	"5389471"
"H00000434"	"162856533"
"H00000435"	"2485624"
"H00000436"	"897181"
"H00000437"	"896242"
"H00000438"	"160249735"
"H00000439"	"4003791"
"H00000440"	"41173416"
"H00000441"	"4898667"
"H00000442"	"160301321"
"H00000443"	"1467749"
"H00000444"	"5197458"
"H00000445"	"1563969"
"H00000446"	"162057242"
"H00000447"	"2608065"
"H00000448"	"1553406"
"H00000449"	"894220"
"H00000450"	"4474668"
"H00000451"	"596765250"
"H00000452"	"1160380798"
"H00000453"	"2442093"
"H00000454"	"2491954"
"H00000455"	"891620"
"H00000456"	"520991054"
"H00000457"	"163126056"
"H00000458"	"2650344"
"H00000459"	"5394477"
"H00000460"	"6345683"
"H00000461"	"6858128"
"H00000462"	"162682087"
"H00000463"	"160038012"
"H00000464"	"77124301"
"H00000465"	"189233706"
"H00000466"	"5762917"
"H00000467"	"161869716"
"H00000468"	"162654194"
"H00000469"	"161888642"
"H00000470"	"4446732"
"H00000471"	"5992153"
"H00000472"	"6656839"
"H00000473"	"1421539"
"H00000474"	"5704813"
"H00000475"	"41558215"
"H00000476"	"5931374"
"H00000477"	"4190886"
"H00000478"	"1486229"
"H00000479"	"165644359"
"H00000480"	"4170011"
"H00000481"	"5920478"
"H00000482"	"6557065"
"H00000483"	"4358954"
"H00000484"	"4072014"
"H00000485"	"2136131"
"H00000486"	"5303291"
"H00000487"	"5054949"
"H00000488"	"6493803"
"H00000489"	"5611139"
"H00000490"	"4591866"
"H00000491"	"40582274"
"H00000492"	"40211347"
"H00000493"	"2157657"
"H00000494"	"4179884"
"H00000495"	"72257701"
"H00000496"	"6238605"
"H00000497"	"5244803"
"H00000498"	"6976853"
"H00000499"	"5175041"
"H00000500"	"1626913939"
"H00000501"	"4268002"
"H00000502"	"5975387"
"H00000503"	"50462920"
"H00000504"	"5149687"
"H00000505"	"5980693"
"H00000506"	"289579"
"H00000507"	"4882687"
"H00000508"	"42652348"
"H00000509"	"4176133"
"H00000510"	"5933809"
"H00000511"	"774958"
"H00000512"	"5808667"
"H00000513"	"6171783"
"H00000514"	"4244601"
"H00000515"	"163541417"
"H00000516"	"41525692"
"H00000517"	"6554816"
"H00000518"	"162900318"
"H00000519"	"162905162"
"H00000520"	"89966182"
"H00000521"	"163445163"
"H00000522"	"5248442"
"H00000523"	"191349778"
"H00000524"	"162998716"
"H00000525"	"1538932"
"H00000526"	"156255239"
"H00000527"	"163340225"
"H00000528"	"52989074"
"H00000529"	"158385112"
"H00000530"	"163315535"
"H00000531"	"5166492"
"H00000532"	"2787106"
"H00000533"	"5058082"
"H00000534"	"164170849"
"H00000535"	"6732257"
"H00000536"	"5302093"
"H00000537"	"163522591"
"H00000538"	"163524580"
"H00000539"	"163197663"
